tank,date,dispersal,wattage,metacommunity,temp_mean,temp_max,temp_sd,temp_min,dispersal_date
12,2018-06-15,low,200,3,23.240694444444443,26.25,1.7953859482533843,20.68,NA
13,2018-06-15,none,300,4,23.605208333333334,26.72,1.8136151621261078,21.06,NA
14,2018-06-15,none,0,4,21.053055555555556,24.41,1.9727263721939081,18.32,NA
15,2018-06-15,none,200,4,22.849027777777778,25.99,1.8851496646060375,20.29,NA
16,2018-06-15,none,100,4,22.103958333333335,25.31,1.8870194127210287,19.47,NA
17,2018-06-15,low,0,5,21.503819444444446,24.66,1.9488303813527754,18.83,NA
18,2018-06-15,low,100,5,22.153194444444445,25.27,1.8806964387678555,19.47,NA
19,2018-06-15,low,300,5,23.631944444444443,26.81,1.9033861169449324,21.06,NA
20,2018-06-15,low,200,5,22.989722222222223,26.08,1.883141975137217,20.33,NA
21,2018-06-15,high,100,6,22.729097222222222,26.12,2.074310033807836,19.86,NA
22,2018-06-15,high,200,6,23.228402777777777,26.34,1.8648810544174386,20.68,NA
23,2018-06-15,high,0,6,21.358958333333334,24.62,1.9676668654415672,18.7,NA
24,2018-06-15,high,300,6,24.115902777777777,27.32,1.8565184399177053,21.58,NA
25,2018-06-15,low,200,7,23.11625,26.25,1.8531967749576097,20.63,NA
26,2018-06-15,low,300,7,23.973055555555554,26.94,1.7825679903579108,21.53,NA
27,2018-06-15,low,100,7,22.79875,26.25,2.109228764032242,19.86,NA
28,2018-06-15,low,0,7,21.5425,24.84,2.0319003127906847,18.7,NA
29,2018-06-15,high,100,8,22.11895833333333,25.35,1.9112616997588359,19.47,NA
30,2018-06-15,high,200,8,22.850416666666668,25.87,1.7518624954023088,20.46,NA
31,2018-06-15,high,0,8,20.992013888888888,23.98,1.7977369534088974,18.57,NA
32,2018-06-15,high,300,8,23.70340277777778,26.47,1.6485277021898463,21.49,NA
33,2018-06-15,none,0,9,21.029097222222223,24.24,1.8789905462772352,18.57,NA
34,2018-06-15,none,100,9,22.11861111111111,25.05,1.7686459642926131,19.69,NA
35,2018-06-15,none,300,9,23.97875,26.81,1.7064681044802426,21.62,NA
36,2018-06-15,none,200,9,23.042083333333334,25.91,1.7269804178497117,20.68,NA
37,2018-06-15,high,200,10,23.246041666666667,26.3,1.829485471153253,20.72,NA
38,2018-06-15,high,300,10,23.851736111111112,26.68,1.705951462209327,21.53,NA
39,2018-06-15,high,100,10,22.50673611111111,25.74,1.9517522447740574,19.69,NA
40,2018-06-15,high,0,10,21.258958333333332,24.36,1.946937605628334,18.44,NA
41,2018-06-15,none,0,11,20.82034722222222,23.72,1.753528077264367,18.4,NA
42,2018-06-15,none,100,11,21.728541666666665,24.66,1.6826365295450592,19.39,NA
43,2018-06-15,none,300,11,23.875763888888887,26.51,1.6259785993057092,21.7,NA
44,2018-06-15,none,200,11,22.948125,26.12,1.8035970154266567,20.42,NA
45,2018-06-15,low,100,12,22.383125,25.31,1.7733696220567123,19.86,NA
46,2018-06-15,low,200,12,22.828263888888888,25.82,1.78902846231316,20.42,NA
47,2018-06-15,low,0,12,21.678472222222222,25.14,2.0358061647617,18.74,NA
48,2018-06-15,low,300,12,23.65972222222222,26.77,1.889701920640752,21.15,NA
1,2018-06-16,high,100,1,23.008472222222224,27.28,2.819344594631693,18.62,NA
2,2018-06-16,high,200,1,23.173541666666665,27.5,2.8070509295929544,18.87,NA
3,2018-06-16,high,0,1,22.21090277777778,26.3,2.613978537531925,18.27,NA
4,2018-06-16,high,300,1,24.188402777777778,28.53,2.8334716809429246,19.86,NA
5,2018-06-16,none,200,2,23.707361111111112,27.84,2.752384849216651,19.47,NA
6,2018-06-16,none,300,2,24.006666666666668,28.1,2.713902822775445,19.77,NA
7,2018-06-16,none,100,2,23.03847222222222,27.32,2.775126613238163,18.79,NA
8,2018-06-16,none,0,2,22.106180555555557,26.17,2.623197748685787,18.02,NA
9,2018-06-16,low,0,3,21.764722222222222,25.99,2.6413068773245603,17.72,NA
10,2018-06-16,low,100,3,22.441041666666667,26.38,2.5900934774691,18.49,NA
11,2018-06-16,low,300,3,24.361944444444443,28.61,2.549940155002621,20.33,NA
12,2018-06-16,low,200,3,23.196875,27.63,2.569093733914036,19.17,NA
13,2018-06-16,none,300,4,23.71298611111111,27.8,2.698379746912397,19.52,NA
14,2018-06-16,none,0,4,21.332013888888888,25.52,2.6287497573027063,17.33,NA
15,2018-06-16,none,200,4,22.96527777777778,26.98,2.637695525366353,18.92,NA
16,2018-06-16,none,100,4,22.364305555555557,26.38,2.593521690506898,18.32,NA
17,2018-06-16,low,0,5,21.862708333333334,25.74,2.512825066818931,18.02,NA
18,2018-06-16,low,100,5,22.356319444444445,26.3,2.629057835050201,18.36,NA
